Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry;;
"Jeff Bezos,177,United States,e-commerce,1,57,""Seattle, Washington"",United States,In Relationship,4,""Bachelor of Arts/Science, Princeton University"",TRUE,POINT (-122.3300624 47.6038321)";;
"Elon Musk,151,United States,electric vehicles,2,49,""Austin, Texas"",United States,In Relationship,7,""Bachelor of Arts/Science, University of Pennsylvania"",TRUE,POINT (-97.74369950000001 30.2711286)";;
"Bernard Arnault & family,150,France,luxury goods,3,72,""Paris, France"",France,Married,5,""Bachelor of Arts/Science, Ecole Polytechnique de Paris"",FALSE,POINT (2.3514616 48.8566969)";;
"Bill Gates,124,United States,software,4,65,""Medina, Washington"",United States,Divorced,3,""Drop Out, Harvard University"",TRUE,POINT (-122.2264453 47.620548)";;
"Mark Zuckerberg,97,United States,social network,5,36,""Palo Alto, California"",United States,Married,2,""Drop Out, Harvard University"",TRUE,POINT (-122.1598465 37.4443293)";;
"Idan Ofer,6.1,Israel,""drilling, shipping"",440,65,""London, United Kingdom"",Israel,Married,5,,FALSE,POINT (-0.1276474 51.5073219)";;
"Qian Dongqi & family,6.1,China,household appliances,440,63,""Suzhou, China"",China,Married,,""Master of Philosophy, Nanjing University"",TRUE,POINT (120.5810725 31.3016935)";;
"Odd Reitan & family,6.1,Norway,""retail, real estate"",440,69,""Trondheim, Norway"",Norway,Married,2,,FALSE,POINT (10.3951929 63.4305658)";;
"Henry Samueli,6.1,United States,semiconductors,440,66,""Newport Beach, California"",United States,Married,3,""Bachelor of Arts/Science, University of California, Los Angeles"; Doctorate, University of California, Los Angeles;" Master of Science, University of California, Los Angeles"",TRUE,POINT (-117.9294401 33.6170092)"
"Les Wexner & family,6.1,United States,retail,440,83,""New Albany, Ohio"",United States,Married,4,""Bachelor of Arts/Science, Ohio State University"",TRUE,POINT (-82.8087864 40.0811745)";;
"Dannine Avara,6,United States,pipelines,451,57,""Houston, Texas"",United States,Married,,,FALSE,POINT (-95.3676974 29.7589382)";;
"Juergen Blickle,6,Germany,auto parts,451,74,""Bruchsal, Germany"",Germany,Married,,,FALSE,POINT (8.5980244 49.124118)";;
"Robert Brockman,6,United States,software,451,79,""Houston, Texas"",United States,Married,1,""Bachelor of Business Administration, University of Florida"",TRUE,POINT (-95.3676974 29.7589382)";;
"Mong-Koo Chung,6,South Korea,Hyundai,451,83,""Seoul, South Korea"",South Korea,Married,4,""Bachelor of Arts/Science, Hanyang University"",FALSE,POINT (126.9782914 37.5666791)";;
"Dulce Pugliese de Godoy Bueno,6,Brazil,""hospitals, health care"",451,73,""Sao Paulo, Brazil"",Brazil,Divorced,1,""Doctorate, The University of Texas at Austin";" Medical Doctor, Universidade Federal do Rio de Janeiro"",TRUE,POINT (-46.6333824 -23.5506507)";
"Daniel Dines,6,Romania,software,451,49,""New York, New York"",Romania,Married,1,""Bachelor of Science, University of Bucharest";" Master of Science, University of Bucharest"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Scott Duncan,6,United States,pipelines,451,38,""Houston, Texas"",United States,Single,,Houston Community College,FALSE,POINT (-95.3676974 29.7589382)";;
"Judy Faulkner,6,United States,health IT,451,77,""Madison, Wisconsin"",United States,Married,3,""Bachelor of Arts/Science, Dickinson College";" Master of Science, University of Wisconsin"",TRUE,POINT (-89.3837613 43.074761)";
"Guenther Fielmann & family,6,Germany,optometry,451,81,""Hamburg, Germany"",Germany,In Relationship,2,,TRUE,POINT (10.000654 53.550341)";;
"Milane Frantz,6,United States,pipelines,451,51,""Houston, Texas"",United States,Married,,""Master of Arts, University of Houston"",FALSE,POINT (-95.3676974 29.7589382)";;
"Frits Goldschmeding,6,Netherlands,temp agency,451,87,""Amsterdam, Netherlands"",Netherlands,Married,3,""Doctorate, Free University of Amsterdam"",TRUE,POINT (4.8936041 52.3727598)";;
"Andrei Guriev & family,6,Russia,fertilizers,451,61,""Moscow, Russia"",Russia,Married,2,""Master, Saint Petersburg Mining University";" Bachelor of Arts/Science, State Central Institute of Physical Culture"",TRUE,POINT (37.6174943 55.7504461)";
"Jane Lauder,6,United States,beauty products,451,48,""New York, New York"",United States,Married,,""Bachelor of Arts/Science, Stanford University"",FALSE,POINT (-74.00601519999999 40.7127281)";;
"Martin Lorentzon,6,Sweden,Spotify,451,52,""Stockholm, Sweden"",Sweden,Single,,,TRUE,POINT (18.0710935 59.3251172)";;
"Isaac Perlmutter,6,United States,Marvel comics,451,78,""Palm Beach, Florida"",United States,Married,,,TRUE,POINT (-80.4494174 26.6279798)";;
"Jeff Skoll,6,United States,e-commerce,451,56,""Los Angeles, California"",United States,Single,,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, University of Toronto"",TRUE,POINT (-118.242766 34.0536909)";
"Robert F. Smith,6,United States,private equity,451,58,""Austin, Texas"",United States,Married,7,""Master of Business Administration, Columbia University";" Bachelor of Arts/Science, Cornell University"",TRUE,POINT (-97.74369950000001 30.2711286)";
"John A. Sobrato & family,6,United States,real estate,451,81,""Atherton, California"",United States,Married,3,""Bachelor of Arts/Science, Santa Clara University"",TRUE,POINT (-122.2058272 37.453773)";;
"Ronald Wanek,6,United States,furniture,451,79,""Saint Petersburg, Florida"",United States,Married,3,""High School Graduate, High School"",TRUE,POINT (-82.66950850000001 27.7703796)";;
"Randa Duncan Williams,6,United States,pipelines,451,59,""Houston, Texas"",United States,Married,1,""Bachelor of Arts/Science, Rice University";" Doctor of Jurisprudence, University of Houston"",FALSE,POINT (-95.3676974 29.7589382)";
"Hansjoerg Wyss,6,Switzerland,medical devices,451,86,""Wilson, Wyoming"",Switzerland,Divorced,1,""Master of Business Administration, Harvard University";" Master of Science, Swiss Federal Institute of Technology"",TRUE,POINT (-110.8752112 43.5007599)";
"Chen Fashu,5.9,China,investments,472,60,""Fuzhou, China"",China,Married,4,China Europe International Business School,TRUE,POINT (116.3530413 27.9511188)";;
"Chen Rui,5.9,China,online entertainment,472,43,""Shanghai, China"",China,,,,TRUE,POINT (121.4692071 31.2322758)";;
"Christopher Hohn,5.9,United Kingdom,hedge funds,472,54,""London, United Kingdom"",United Kingdom,Divorced,,""Master of Business Administration, Harvard Business School"",TRUE,POINT (-0.1276474 51.5073219)";;
"Lin Jianhua & family,5.9,China,solar panel components,472,58,""Hangzhou, China"",China,Married,,,TRUE,POINT (120.2052342 30.2489634)";;
"Maria Asuncion Aramburuzabala & family,5.8,Mexico,""beer, investments"",476,58,""Mexico City, Mexico"",Mexico,Divorced,2,""Bachelor of Arts/Science, Instituto Tecnológico Autónomo de México"",FALSE,POINT (-99.1331785 19.4326296)";;
"Chan Laiwa & family,5.8,China,real estate,476,80,""Beijing, China"",China,Married,3,""Doctorate, Savannah College of Art and Design"",TRUE,POINT (116.3912757 39.906217)";;
"George Kaiser,5.8,United States,""oil & gas, banking"",476,78,""Tulsa, Oklahoma"",United States,Married,3,""Bachelor of Arts/Science, Harvard University";" Master of Business Administration, Harvard University"",FALSE,POINT (-95.9929113 36.1556805)";
"Ananda Krishnan,5.8,Malaysia,""telecoms, media, oil-services"",476,83,""Kuala Lumpur, Malaysia"",Malaysia,Married,3,""Master of Business Administration, Harvard University";" Bachelor of Arts/Science, Melbourne University"",TRUE,POINT (101.6942371 3.1516964)";
"Douglas Leone,5.8,United States,venture capital,476,63,""Atherton, California"",United States,Married,4,""Master of Science, Columbia University"; Bachelor of Arts/Science, Cornell University;" Master of Business Administration, MIT Sloan School of Management"",TRUE,POINT (-122.2058272 37.453773)"
"Li Chunan,5.8,China,renewable energy,476,52,""Fushun, China"",China,,,,TRUE,POINT (123.924157 41.8692972)";;
Li Ping,5.8,Hong Kong,batteries,476,,,,,,,,POINT (114.1628131 22.2793278);;
"William Li,5.8,China,electric vehicles,476,46,""Beijing, China"",China,,,,TRUE,POINT (116.3912757 39.906217)";;
"Augusto & Giorgio Perfetti,5.8,Italy,candy,476,,""Lugano, Switzerland"",Italy,,,,FALSE,POINT (8.9520281 46.0050102)";;
"Meg Whitman,5.8,United States,e-commerce,476,64,""Los Angeles, California"",United States,Married,2,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Princeton University"",TRUE,POINT (-118.242766 34.0536909)";
"Neil Bluhm,5.7,United States,real estate,486,83,""Chicago, Illinois"",United States,Divorced,3,""Doctor of Jurisprudence, Northwestern University";" Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"",TRUE,POINT (-87.6244212 41.8755616)";
"Andrew Currie,5.7,United Kingdom,chemicals,486,65,""London, United Kingdom"",United Kingdom,,,""Bachelor of Arts/Science, Cambridge University"",TRUE,POINT (-0.1276474 51.5073219)";;
"Tom Gores,5.7,United States,private equity,486,56,""Beverly Hills, California"",United States,Married,3,""Bachelor of Arts/Science, Michigan State University"",TRUE,POINT (-118.3963062 34.0696501)";;
"Michel Leclercq & family,5.7,France,sporting goods,486,81,""Lille, France"",France,Married,4,,FALSE,POINT (3.0635282 50.6365654)";;
"Michael Moritz,5.7,United States,venture capital,486,66,""San Francisco, California"",United States,Married,2,""Bachelor of Arts/Science, Christ Church, Oxford University";" Master of Business Administration, University of Pennsylvania, The Wharton School"",TRUE,POINT (-122.419906 37.7790262)";
"Nicolas Puech,5.7,France,Hermes,486,78,""Martigny, Switzerland"",France,,,,FALSE,POINT (7.0727354 46.103115)";;
"John Reece,5.7,United Kingdom,chemicals,486,64,""London, United Kingdom"",United Kingdom,,,""Bachelor of Arts/Science, Cambridge University"",TRUE,POINT (-0.1276474 51.5073219)";;
"Emanuele (Lino) Saputo & family,5.7,Canada,cheese,486,84,""Montreal, Canada"",Canada,Married,3,""Diploma, High School"",FALSE,POINT (-73.61036420000001 45.4972159)";;
Fred Smith,5.7,United States,finance,486,,,United States,,,,,POINT (-100.4458825 39.7837304);;
"Teh Hong Piow,5.7,Malaysia,banking,486,91,""Kuala Lumpur, Malaysia"",Malaysia,Married,4,""Bachelor of Arts/Science, University of Malaya"",TRUE,POINT (101.6942371 3.1516964)";;
"Rene Benko,5.6,Austria,""real estate, retail"",496,44,Austria,Austria,Married,4,,TRUE,POINT (13.2 47.2)";;
"Jack Dangermond,5.6,United States,mapping software,496,75,""Redlands, California"",United States,Married,,""Bachelor of Arts/Science, California State Polytechnical University"; Master of Science, Harvard University;" Master of Science, University of Minnesota"",TRUE,POINT (-117.1827445 34.0550328)"
"Stanley Druckenmiller,5.6,United States,hedge funds,496,67,""New York, New York"",United States,Married,,""Bachelor of Arts/Science, Bowdoin College"",TRUE,POINT (-74.00601519999999 40.7127281)";;
"Tamara Gustavson,5.6,United States,self storage,496,59,""Lexington, Kentucky"",United States,Married,2,""Bachelor of Arts/Science, University of Southern California"",FALSE,POINT (-84.4970393 38.0464066)";;
"Jian Jun,5.6,China,biomedical products,496,57,""Beijing, China"",China,,,""Master of Business Administration, Tsinghua University"",TRUE,POINT (116.3912757 39.906217)";;
"Kwee brothers,5.6,Singapore,Real Estate,496,,""Singapore, Singapore"",Singapore,,,,FALSE,POINT (103.8194992 1.357107)";;
"Clive Calder,5.5,United Kingdom,record label,502,74,""Grand Cayman, Cayman Islands"",United Kingdom,Married,2,,TRUE,POINT (-81.17122910000001 19.3298691)";;
"Hasmukh Chudgar & family,5.5,India,pharmaceutical,502,87,""Ahmedabad, India"",India,Married,3,,TRUE,POINT (72.5797068 23.0216238)";;
"Dagmar Dolby & family,5.5,United States,Dolby Laboratories,502,79,""San Francisco, California"",United States,Widowed,2,""Bachelor of Arts/Science, Heidelberg University"",FALSE,POINT (-122.419906 37.7790262)";;
"Dong Wei,5.5,China,pharmaceutical,502,50,""Lianyungang, China"",China,,,,TRUE,POINT (119.215813 34.5978596)";;
"Ken Fisher,5.5,United States,money management,502,70,""Camas, Washington"",United States,Married,3,""Bachelor of Arts/Science, Humboldt State University"",TRUE,POINT (-122.4122248 45.5911103)";;
"Ivan Glasenberg,5.5,Switzerland,mining,502,64,""Ruschlikon, Switzerland"",Switzerland,Married,2,""Master of Business Administration, Marshall School of Business";" Bachelor of Arts/Science, University of Witwatersrand"",TRUE,POINT (8.554642100000001 47.307465)";
"He Xiaopeng,5.5,China,electric vehicles,502,43,""Guangzhou, China"",China,,,,TRUE,POINT (113.2592945 23.1301964)";;
"Sumet Jiaravanon,5.5,Thailand,diversified,502,86,""Bangkok, Thailand"",Thailand,,,,FALSE,POINT (100.4930399 13.7544238)";;
"Karel Komarek,5.5,Czechia,""oil and gas, IT, lotteries"",502,52,""Verbier, Switzerland"",Czechia,Married,4,""Diploma, Hahnemann Medical College"",TRUE,POINT (7.2285478 46.0967949)";;
"Ronald Lauder,5.5,United States,beauty products,502,77,""New York, New York"",United States,Married,2,""Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"",FALSE,POINT (-74.00601519999999 40.7127281)";;
"Mu Rongjun,5.5,China,e-commerce,502,41,""Beijing, China"",China,,,""Bachelor of Engineering, Tsinghua University";" Master, Tsinghua University"",TRUE,POINT (116.3912757 39.906217)";
"J. Christopher Reyes,5.5,United States,food distribution,502,67,""Hobe Sound, Florida"",United States,Married,4,""Bachelor of Arts/Science, University of Maryland"",TRUE,POINT (-80.13991799999999 27.080492)";;
"Jude Reyes,5.5,United States,food distribution,502,65,""Palm Beach, Florida"",United States,Married,3,""Bachelor of Arts/Science, Wofford College"",TRUE,POINT (-80.4494174 26.6279798)";;
"Kjell Inge Rokke,5.5,Norway,""shipping, seafood"",502,62,""Vettre, Norway"",Norway,Married,4,,TRUE,POINT (10.4654282 59.824372)";;
"Edward Roski, Jr.,5.5,United States,real estate,502,82,""Los Angeles, California"",United States,Married,3,""Bachelor of Arts/Science, University of Southern California"",FALSE,POINT (-118.242766 34.0536909)";;
"Alexandra Schoerghuber,5.5,Germany,real estate,502,62,""Munich, Germany"",Germany,Widowed,3,,FALSE,POINT (11.5753822 48.1371079)";;
"Shu Ping,5.5,Singapore,restaurants,502,,""Singapore, Singapore"",Singapore,Married,,,TRUE,POINT (103.8194992 1.357107)";;
"Christoph Zeller,5.5,Liechtenstein,dental implants,502,64,""Vaduz, Liechtenstein"",Liechtenstein,Married,,,FALSE,POINT (9.5227962 47.1392862)";;
"An Kang,5.4,China,pharmaceutical,520,72,""Xinxiang, China"",China,Married,,""Bachelor of Arts/Science, Henan Normal University"",TRUE,POINT (113.9202062 35.3021133)";;
